path	sentence	up_votes	down_votes	age	gender	accent	path
common_voice_en_1.mp3	I'm interested only in the present.	1614	77				common_voice_en_1.mp3
common_voice_en_2.mp3	The boy was surprised.	1399	20				common_voice_en_2.mp3
common_voice_en_3.mp3	"""I'm a woman of the desert,"" she said, averting her face."	1185	52				common_voice_en_3.mp3
common_voice_en_4.mp3	But he had to move on.	1048	49				common_voice_en_4.mp3
common_voice_en_5.mp3	"""Thank you,"" said the boy."	974	52				common_voice_en_5.mp3
common_voice_en_6.mp3	The boy turned to the hand that wrote all.	839	36				common_voice_en_6.mp3
common_voice_en_7.mp3	I don't know the desert that well yet.	762	22				common_voice_en_7.mp3
common_voice_en_8.mp3	"""Because I've always heard about them,"" the boy answered, saying nothing about his dream."	718	24				common_voice_en_8.mp3
common_voice_en_9.mp3	Sadly, my dream of becoming a squirrel whisperer may never happen.	700	16				common_voice_en_9.mp3
common_voice_en_10.mp3	The boy looked out at the horizon.	622	28				common_voice_en_10.mp3
common_voice_en_11.mp3	And they had understood each other perfectly well.	644	7				common_voice_en_11.mp3
common_voice_en_12.mp3	Other servants maintained the fires in the hookahs.	560	14				common_voice_en_12.mp3
common_voice_en_13.mp3	"""He lives at the Al-Fayoum oasis,"" his friend had said."	451	96				common_voice_en_13.mp3
common_voice_en_14.mp3	It didn't bring with it the smell of the desert, nor the threat of Moorish invasion.	505	16				common_voice_en_14.mp3
common_voice_en_15.mp3	The dunes are changed by the wind, but the desert never changes.	357	131				common_voice_en_15.mp3
common_voice_en_16.mp3	He took back his books and packed them away again in their bags.	495	17				common_voice_en_16.mp3
common_voice_en_17.mp3	But the merchant understood what the boy had said.	450	38				common_voice_en_17.mp3
common_voice_en_18.mp3	He thought of all the married shepherds he had known.	450	7				common_voice_en_18.mp3
common_voice_en_19.mp3	Three armed tribesmen approached, and asked what the boy and the alchemist were doing there.	381	28				common_voice_en_19.mp3
common_voice_en_20.mp3	Some of those who saw its flight say it travelled with a hissing sound.	364	88				common_voice_en_20.mp3
common_voice_en_21.mp3	He had always believed that the sheep were able to understand what he said.	374	42				common_voice_en_21.mp3
common_voice_en_22.mp3	It was the first time either had touched the other.	431	7				common_voice_en_22.mp3
common_voice_en_23.mp3	"""Well, usually I learn more from my sheep than from books,"" he answered."	402	9				common_voice_en_23.mp3
common_voice_en_24.mp3	He knew how to shear them, and how to slaughter them.	316	47				common_voice_en_24.mp3
